method,n_steps,initial_soc,final_soc,total_cash,inventory_change,degradation_cost,inv_adjusted,n_charge,n_discharge,n_hold,spike_cash,normal_cash,n_spikes
SAC,18000,0.5,0.06086447834968567,158406.218240518,-1063.147097915411,7986.818021952277,149356.2531206503,5366,3924,8710,18647.066651067384,139759.1515894506,74
Heuristic,18000,0.5,0.1064726784825325,98311.56352413927,-952.7296453937888,13055.391498251505,84303.44238049397,3292,3051,11657,1399.2916666666665,96912.2718574726,74
